Nº do item;Descrição do item;Unidade de medida de compra;Grupo de itens;;;;;;
03857;TUBO PVC 1 1/4 6M;UN;MATERIAL MANUTENCAO;;;;;;
03859;CURVA ROSCAVEL 1/ ¼;UN;MATERIAL MANUTENCAO;;;;;;
03863;BROCA ACO 6,5MM;UN;MATERIAL MANUTENCAO;;;;;;
03874;TAMPA DAILETE  3/4;UN;MATERIAL MANUTENCAO;;;;;;
03880;DISJUNTOR BIPOLAR 16A;UN;MATERIAL MANUTENCAO;;;;;;
03882;ANEL VEDACAO TC 3;UN;MATERIAL MANUTENCAO;;;;;;
03884;ESTOPA LIMPEZA;PCT;MATERIAL LIMPEZA;;;;;;
03904;REFLETOR LED 30W BIVOLT;UN;MATERIAL MANUTENCAO;;;;;;
03907;CHAVE COMBINADA 16MM;UN;MATERIAL MANUTENCAO;;;;;;
03908;CHAVE COMBINADA 23MM;UN;MATERIAL MANUTENCAO;;;;;;
03911;INTERRUPTOR CONJUGADO SOBREPOR;UN;MATERIAL MANUTENCAO;;;;;;
03913;QGBT 8 DISJUNTORES;UN;MATERIAL MANUTENCAO;;;;;;
03918;REMOVEDOR TINTA AUTOMOTIVA 1KG;UN;MATERIAL MANUTENCAO;;;;;;
03919;ACEROLA PETRUZ INT6 SR CPSA 5KG CX4 EX;CX;P.A. FRUTAS EXPORT;;;;;;
03923;MANGUEIRA JARDIM;MT;MATERIAL USO CONSUMO;;;;;;
03929;REFIL TINTA EPSON T664120AL P;UN;MATERIAL EXPEDIENTE;;;;;;
03930;REFIL TINTA EPSON T664220AL C;UN;MATERIAL EXPEDIENTE;;;;;;
03931;REFIL TINTA EPSON T664320AL M;UN;MATERIAL EXPEDIENTE;;;;;;
03932;REFIL TINTA EPSON T664420AL Y;UN;MATERIAL EXPEDIENTE;;;;;;
03933;ROLAMENTO UC 209 INOX;UN;MATERIAL MANUTENCAO;;;;;;
03947;ACAI PETRUZ CLA12 SR CPSA 400G CX15;CX;P.A. ACAI;;;;;;
03956;FOTOCELULA VIDEOJET 1220;UN;MATERIAL MANUTENCAO;;;;;;
03957;RADIO COMUNICADOR;UN;BENS PEQUENO VALOR;;;;;;
03961;AMOSTRA ACAI PETRUZ PRE14 SR CPSA 200G;UN;AMOSTRAS;;;;;;
03965;RIBBON PRETO DOMINO 34MM X 770M;UN;MATERIAL MANUTENCAO;;;;;;
03966;TEFLON COM COLA 35MM X 10MM;UN;MATERIAL MANUTENCAO;;;;;;
03968;VALVULA PIA;UN;MATERIAL MANUTENCAO;;;;;;
03971;RELE SOBRECARGA RW 16A;UN;MATERIAL MANUTENCAO;;;;;;
03972;RELE SOBRECARGA RW 32A;UN;MATERIAL MANUTENCAO;;;;;;
03973;RELE SOBRECARGA RW 50A;UN;MATERIAL MANUTENCAO;;;;;;
03974;PALETE MOVIMENTACAO 1,00 X 1,20 x 0,14;UN;EMBALAGEM;;;;;;
03975;TERMINAL COMPRESSAO 25MM;UN;MATERIAL MANUTENCAO;;;;;;
03998;"PORCA INOX TRAVANTE 5/16""";UN;MATERIAL MANUTENCAO;;;;;;
04000;"PORCA INOX TRAVANTE 1/4""";UN;MATERIAL MANUTENCAO;;;;;;
04010;"CONEXAO QS 1/8 8""";UN;MATERIAL MANUTENCAO;;;;;;
04013;"CONEXAO QS 3/8 8""";UN;MATERIAL MANUTENCAO;;;;;;
04018;CONEXAO INSTANTANEA T 8 X 10MM;UN;MATERIAL MANUTENCAO;;;;;;
04019;CHAVE CANHAO 7MM;UN;MATERIAL MANUTENCAO;;;;;;
04037;VELA IGNICAO;UN;MATERIAL MANUTENCAO;;;;;;
04047;TERMINAL COMPRESSAO 35MM;UN;MATERIAL MANUTENCAO;;;;;;
04051;ACEROLA PETRUZ INT6 SR CPSA 5KG;UN;PRODUTO ELABORACAO;;;;;;
04057;VALVULA 12V 600HZ;UN;MATERIAL MANUTENCAO;;;;;;
04062;COOLER 120 X 120 X 38;UN;MATERIAL MANUTENCAO;;;;;;
04063;RESISTENCIA 1000W;UN;MATERIAL MANUTENCAO;;;;;;
04064;TUBO RESISTENCIA;UN;MATERIAL MANUTENCAO;;;;;;
04065;TERMOPAR PT100 3 X 30;UN;MATERIAL MANUTENCAO;;;;;;
04066;CORREIA SINCRONIZADA 750 H 075;UN;MATERIAL MANUTENCAO;;;;;;
04067;CORREIA SINCRONIZADA XL 200;UN;MATERIAL MANUTENCAO;;;;;;
04068;AVENTAL CARRO;UN;MATERIAL MANUTENCAO;;;;;;
04069;CORRENTE ELEVACAO;UN;MATERIAL MANUTENCAO;;;;;;
04077;FORRO PAINEL 24W 6000K 10258;UN;MATERIAL MANUTENCAO;;;;;;
04101;OLEO COMPRESSOR ALTA PRESSAO;UN;MATERIAL MANUTENCAO;;;;;;
04102;CORREIA PK750;UN;MATERIAL MANUTENCAO;;;;;;
04104;CAIXA DE ISOPOR 12L;UN;EMBALAGEM;;;;;;
04105;CAIXA DE ISOPOR 21L;UN;EMBALAGEM;;;;;;
04116;VARAO ACIONAMENTO;UN;MATERIAL MANUTENCAO;;;;;;
04122;ACIONADOR MANUAL TM2220;UN;MATERIAL MANUTENCAO;;;;;;
04123;MOLA PISTAO ACIONADOR TM2220;UN;MATERIAL MANUTENCAO;;;;;;
04125;DESATIVADOR PL - DESATIVADO;UN;MATERIAL MANUTENCAO;;;;;;
04129;PINO ROLETE TM2220;UN;MATERIAL MANUTENCAO;;;;;;
04130;BUCHA ROLETE TM2220;UN;MATERIAL MANUTENCAO;;;;;;
04133;"JOELHO PVC ROSCAVEL 45º 2""";UN;MATERIAL MANUTENCAO;;;;;;
04140;SOLUCAO LIMPEZA IMPRESSORA V-901Q;UN;EMBALAGEM;;;;;;
04141;BATERIA 12V;UN;MATERIAL USO CONSUMO;;;;;;
04157;CORREIA B75;UN;MATERIAL MANUTENCAO;;;;;;
04158;CORREIA B79;UN;MATERIAL MANUTENCAO;;;;;;
04164;"PARAFUSO SEXTAVADO 3/4 X 5""";UN;MATERIAL MANUTENCAO;;;;;;
04167;"LUVA GALVANIZADA 1 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
04168;"ARRUELA 3/4""";UN;MATERIAL MANUTENCAO;;;;;;
04173;"LUVA GALVANIZADA 1 1/4""";UN;MATERIAL MANUTENCAO;;;;;;
04177;CILINDRO DATADOR;UN;MATERIAL MANUTENCAO;;;;;;
04188;BROCA ACO 4MM;UN;MATERIAL MANUTENCAO;;;;;;
04189;BROCA ACO 5MM;UN;MATERIAL MANUTENCAO;;;;;;
04190;BROCA ACO 7MM;UN;MATERIAL MANUTENCAO;;;;;;
04200;LUVA REDUCAO PVC SOLDAVEL 25MM X 20MM;UN;MATERIAL MANUTENCAO;;;;;;
04213;SECADOR MAOS VERTICAL CEO 220V;UN;MATERIAL USO CONSUMO;;;;;;
04231;"CURVA INOX 90 1 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
04240;DISCO CORTE 10 X 1/8 X 5/8;UN;MATERIAL MANUTENCAO;;;;;;
04241;CAIXA PAPELAO ACAI AMAZON PLANET 315 X 295 X 100 6,4KG;UN;EMBALAGEM;;;;;;
04278;FITA DUPLA FACE SILICONE 20M;UN;MATERIAL USO CONSUMO;;;;;;
04280;TE GALVANIZADO 2;UN;MATERIAL MANUTENCAO;;;;;;
04284;"CAP GALVANIZADA 2""";UN;MATERIAL MANUTENCAO;;;;;;
04285;FITA VINIL IMPRESSORA PORTATIL 12MM X 5,5M;UN;MATERIAL USO CONSUMO;;;;;;
04288;FILME CAJU PETRUZ 400G;KG;EMBALAGEM;;;;;;
04289;FILME GRAVIOLA PETRUZ 400G;KG;EMBALAGEM;;;;;;
04301;RIBBON BRANCO DOMINO 34MM X 500MM WRA1;UN;MATERIAL MANUTENCAO;;;;;;
04302;RECARGA MACARICO PORTATIL;UN;MATERIAL MANUTENCAO;;;;;;
04304;ESCOVA ROTATIVA LAVA BOTAS;UN;MATERIAL LIMPEZA;;;;;;
04306;FILME CUPUACU PETRUZ 400G;KG;EMBALAGEM;;;;;;
04307;FILME BACURI PETRUZ 400G;KG;EMBALAGEM;;;;;;
04308;FILME MANGA PETRUZ 400G;KG;EMBALAGEM;;;;;;
04309;FILME MURUCI PETRUZ 400G;KG;EMBALAGEM;;;;;;
04310;FILME TAPEREBA PETRUZ 400G;KG;EMBALAGEM;;;;;;
04323;PRATO GIRATORIO ROCADEIRA;UN;MATERIAL USO CONSUMO;;;;;;
04330;SPIRADUTO PRETO 1;UN;MATERIAL MANUTENCAO;;;;;;
04332;SPIRADUTO PRETO 3/4;UN;MATERIAL MANUTENCAO;;;;;;
04340;CONECTOR MACHO INSTANTANEO PLASTICO 6MM X 1/4;UN;MATERIAL MANUTENCAO;;;;;;
04343;CONECTOR MACHO INST PLAST 8MM X 1/4;UN;MATERIAL MANUTENCAO;;;;;;
04344;"COTOVELO MACHO GIR PLASTICO 8MM X 1/4""";UN;MATERIAL MANUTENCAO;;;;;;
04348;ADESIVO CIANOCRILATO 100G;UN;MATERIAL MANUTENCAO;;;;;;
04356;FILME ACAI AMAZON PLANET RESERVE UNSWEETENED 100G;KG;EMBALAGEM;;;;;;
04357;FILME ACAI AMAZON PLANET RESERVE WITH GUARANA 100G;KG;EMBALAGEM;;;;;;
04359;BOX CURVO 3/4;UN;MATERIAL MANUTENCAO;;;;;;
04360;"CONECTOR MACHO INST PLAST 8MM X 1/8""";UN;MATERIAL MANUTENCAO;;;;;;
04364;ACAI GUARANA BLANK CLA16 SR OPCA 100G;UND;PRODUTO ELABORACAO;;;;;;
04370;SELANTE VERMELHO;UN;MATERIAL MANUTENCAO;;;;;;
04383;"PARAFUSO INOX SEXTAVADO 1/2 X 1""";UN;MATERIAL MANUTENCAO;;;;;;
04398;FILME ACAI A3 ZERO STICKER 100G;KG;EMBALAGEM;;;;;;
04401;ROLAMENTO 6000;UN;MATERIAL MANUTENCAO;;;;;;
04402;ROLAMENTO 6200;UN;MATERIAL MANUTENCAO;;;;;;
04408;TERMINAL TUBULAR 6MM;UN;MATERIAL MANUTENCAO;;;;;;
04410;TERMINAL BANDEIRA 2,5MM;UN;MATERIAL MANUTENCAO;;;;;;
04413;DISJUNTOR MOTOR WEG MPW40 10-16A;UN;MATERIAL MANUTENCAO;;;;;;
04415;SINALEIRO WEG  AMARELO 220V;UN;MATERIAL MANUTENCAO;;;;;;
04421;TERMINAL TIPO GARFO 6MM;UN;MATERIAL MANUTENCAO;;;;;;
04422;TERMINAL TIPO PINO 6MM;UN;MATERIAL MANUTENCAO;;;;;;
04441;"ADAPTADOR SOLDAVEL CURTO 40MM X 1 1/4""";UN;MATERIAL MANUTENCAO;;;;;;
04443;TE SOLDAVEL 40MM;UN;MATERIAL MANUTENCAO;;;;;;
04446;"JOELHO PVC SOLDAVEL ROSCAVEL 90º 25 X 3/4""";UN;MATERIAL MANUTENCAO;;;;;;
04447;LUBRIFICANTE TAYLOR 113 G;UN;MATERIAL LIMPEZA;;;;;;
04477;ACAI GUARANA AMAZON PLANET CLA18 R5 OPSA 100G;UN;PRODUTO ELABORACAO;;;;;;
04495;"ELETRODUTO PVC 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
04496;ELETROCALHA 200 X 100MM;UN;MATERIAL MANUTENCAO;;;;;;
04523;CURVA SOLDAVEL 32MM;UN;MATERIAL MANUTENCAO;;;;;;
04535;ROLAMENTO 16005;UN;MATERIAL MANUTENCAO;;;;;;
04537;FILME ACAI CAMPO VERDE 100G;KG;EMBALAGEM;;;;;;
04554;CAIXA PAPELAO ACAI SORBET CAMPO VERDE BANANA 30,5 X 20,5 X 22,9 3,6KG;UN;EMBALAGEM;;;;;;
04557;CAIXA PAPELAO ACAI SORBET CAMPO VERDE BANANA 305 X 205 X 229 5,4KG;UN;EMBALAGEM;;;;;;
04577;COLA ADESIVA ESPONJOSA;UN;MATERIAL MANUTENCAO;;;;;;
04582;CORREIA A37;UN;MATERIAL MANUTENCAO;;;;;;
04587;VALVULA SOLENOIDE SYS 5120 5D 01 SMC;UN;MATERIAL MANUTENCAO;;;;;;
04594;BOLSA PLASTICA A4 BORDA BRANCA;UN;MATERIAL EXPEDIENTE;;;;;;
04595;SUPORTE BOLSA PLASTICA;UN;MATERIAL USO CONSUMO;;;;;;
04602;"REGISTRO ESFERA GALVANIZADO 1 1/4""";UN;MATERIAL MANUTENCAO;;;;;;
04607;"CURVA GALVANIZADA 90 1 1/4""";UN;MATERIAL MANUTENCAO;;;;;;
04612;BALDE BRANCO REDONDO PETRUZ 12L;UN;EMBALAGEM;;;;;;
04621;TE GALVANIZADO 1;UN;MATERIAL MANUTENCAO;;;;;;
04622;ACAI SAO PEDRO CLA12 SR CPSA 1,02KG;KG;PRODUTO ELABORACAO;;;;;;
04623;ACAI SAO PEDRO CLA12 SR CPSA 1,02KG SC40;SC;P.A. ACAI;;;;;;
04631;ALCOOL 70% 1L;UN;INSUMOS INDIRETOS;;;;;;
04644;ATUADOR PNEUMATICO BASICO SERIE C85 REF C85N25 160;UN;MATERIAL MANUTENCAO;;;;;;
04649;SINALEIRO METALTEX L 20 DR7 24V VERDE;UN;MATERIAL MANUTENCAO;;;;;;
04650;SINALEIRO METALTEX L20 DR7 24V VERMELHO;UN;MATERIAL MANUTENCAO;;;;;;
04651;BORNE WEG BTWS 2 S 6MM FUSIVEL CZ;UN;MATERIAL MANUTENCAO;;;;;;
04653;CONTATOR WEG CWM18 10 220V;UN;MATERIAL MANUTENCAO;;;;;;
04654;BLOCO CONTATO WEG BCXML11 1 NA+1NF;UN;MATERIAL MANUTENCAO;;;;;;
04656;BORNE WEG BTWP 4MM AZ;UN;MATERIAL MANUTENCAO;;;;;;
04668;"ELETRODUTO 1 1/4""";UN;MATERIAL MANUTENCAO;;;;;;
04669;"CURVA ELETRODUTO 90 1 1/4""";UN;MATERIAL MANUTENCAO;;;;;;
04693;CHAVE INGLESA 15;UN;MATERIAL MANUTENCAO;;;;;;
04695;REATOR DUPLO BIVOLT 2 X 32/30W;UN;MATERIAL MANUTENCAO;;;;;;
04698;MACACAO SEGURANCA PROTECAO NIVEL B TAM M;UN;SESMT;;;;;;
04708;ACAI GUARANA CAMPO VERDE CLA18 SR CPCA 100G;UND;PRODUTO ELABORACAO;;;;;;
04711;METALON 50 X 30;UN;MATERIAL CONSTRUCAO;;;;;;
04713;DATALOGGER;UN;MATERIAL USO CONSUMO;;;;;;
04736;ACAI ZERO A3 CLA25 SR CPCA 100G;UND;PRODUTO ELABORACAO;;;;;;
04743;"CONDULETE ALUMINIO 3/4""";UN;MATERIAL MANUTENCAO;;;;;;
04754;LUVA NITRILICA TAM G;UN;SESMT;;;;;;
04756;LOCACAO CILINDRO;UN;SERVICOS GERAIS;;;;;;
04764;RESISTENCIA VERTICAL MAQUINAS DOM;UN;MATERIAL MANUTENCAO;;;;;;
04765;RESISTENCIA HORIZONTAL MAQUINAS DOM;UN;MATERIAL MANUTENCAO;;;;;;
04774;TAMPA PP 12 BRANCA;CX;EMBALAGEM;;;;;;
04786;PROTETOR AURICULAR DESCARTAVEL CORDAO 3M;UN;SESMT;;;;;;
04787;LUVA SEGURANCA CALDEIREIRO;UN;SESMT;;;;;;
04791;RELE ESTADO SOLIDO DBF 900;UN;MATERIAL MANUTENCAO;;;;;;
04792;ROLDANA DATADORA;UN;MATERIAL MANUTENCAO;;;;;;
04794;ROLDANA ENTRADA ROLAMENTO;UN;MATERIAL MANUTENCAO;;;;;;
04795;ROLDANA PEQUENA;UN;MATERIAL MANUTENCAO;;;;;;
04796;ROLETE PLASTICO;UN;MATERIAL MANUTENCAO;;;;;;
04797;ROLETE DE PLASTICO CATRACA;UN;MATERIAL MANUTENCAO;;;;;;
04800;ARGAMASSA AC3;UN;MATERIAL CONSTRUCAO;;;;;;
04802;BARRA CHATA INOX 304 1 1/2 X 3/8;UN;MATERIAL MANUTENCAO;;;;;;
04804;CALCA NR10 RISCO 2 FAIXA CINZA G-DESATIVADO;UN;SESMT;;;;;;
04805;CAMISA NR10 RISCO 2 FAIXA CINZA M-DESATIVADO;UN;SESMT;;;;;;
04810;CHAVE COMBINADA 17MM;UN;MATERIAL MANUTENCAO;;;;;;
04811;CHAVE COMBINADA 19MM;UN;MATERIAL MANUTENCAO;;;;;;
04821;PORCA INOX 1/8”;UN;MATERIAL MANUTENCAO;;;;;;
04823;SELO MECANICO TROP 600;UN;MATERIAL MANUTENCAO;;;;;;
04828;CONCHA INOX CABO LONGO;UN;MATERIAL MANUTENCAO;;;;;;
04831;COLHER DE MESA;PCT;COPA COZINHA;;;;;;
04842;RESISTENCIA VERTICAL IMAAJ 1KG;UN;MATERIAL MANUTENCAO;;;;;;
04843;RESISTENCIA VERTICAL EXIMAQ 1KG;UN;MATERIAL MANUTENCAO;;;;;;
04850;TEFLON SEM COLA 35MM X 10MM;UN;MATERIAL MANUTENCAO;;;;;;
04855;LINHA COSTURA;UN;EMBALAGEM;;;;;;
04861;ROLAMENTO INOX 6306;UN;MATERIAL MANUTENCAO;;;;;;
04862;REPARO CAIXA DESCARGA;UN;MATERIAL CONSTRUCAO;;;;;;
04881;ACAI GUARANA BLANK PETRUZ PRE20 SR OPSA 1KG;KG;PRODUTO ELABORACAO;;;;;;
04895;ISOLANTE CELERON HORIZONTAL DOM;UN;MATERIAL MANUTENCAO;;;;;;
04908;SUPORTE LIMPA TUDO;UN;MATERIAL LIMPEZA;;;;;;
04909;EXTENSAO TELESCOPICA 3M;UN;MATERIAL LIMPEZA;;;;;;
04923;CAIXA PASSAGEM ALUMINIO 200 X 200MM;UN;MATERIAL MANUTENCAO;;;;;;
04924;FIXA FIO 6MM;UN;MATERIAL MANUTENCAO;;;;;;
04925;FIXA FIO 10MM;UN;MATERIAL MANUTENCAO;;;;;;
04926;"LUVA COBRE 3/4""";UN;MATERIAL MANUTENCAO;;;;;;
04931;CABO FLEXIVEL 10MM 750V;MT;MATERIAL MANUTENCAO;;;;;;
04960;LIXEIRA BRANCA PEDAL 100L;UN;MATERIAL LIMPEZA;;;;;;
04977;ABRACADEIRA 100M;UN;MATERIAL MANUTENCAO;;;;;;
04989;"LA DE ROCHA 2/5""";M3;MATERIAL MANUTENCAO;;;;;;
04990;LIMA K E F;UN;MATERIAL MANUTENCAO;;;;;;
05003;"ELETRODUTO PVC 3/4""";UN;MATERIAL MANUTENCAO;;;;;;
05028;BUCHA TAMPA INFERIOR SELO TROP 600;UN;MATERIAL MANUTENCAO;;;;;;
05029;MOLA SELO MECANICO TROP600;UN;MATERIAL MANUTENCAO;;;;;;
05030;PORCA TRAVA SELO TROP 600;UN;MATERIAL MANUTENCAO;;;;;;
05031;ANEL O RING SELO TROP 600 45 X 5;UN;MATERIAL MANUTENCAO;;;;;;
05033;FITA ADESIVA ANTIDERRAPANTE ZEBRADA;UN;SESMT;;;;;;
05034;"PORCA SEXTAVADA 1/8 X 1""";UN;MATERIAL MANUTENCAO;;;;;;
05036;ANILIA MARCACAO NUMERO 5;UN;MATERIAL MANUTENCAO;;;;;;
05037;ANILIA MARCACAO NUMERO 4;UN;MATERIAL MANUTENCAO;;;;;;
05038;ANILIA MARCACAO NUMERO 3;UN;MATERIAL MANUTENCAO;;;;;;
05039;ANILIA MARCACAO NUMERO 2;UN;MATERIAL MANUTENCAO;;;;;;
05040;ANILIA MARCACAO NUMERO 1;UN;MATERIAL MANUTENCAO;;;;;;
05041;ANILIA MARCACAO NUMERO 0;UN;MATERIAL MANUTENCAO;;;;;;
05045;"ELETRODUTO ZINCADO 1 X 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
05050;TAMPA ELETROCALHA 100 X 50;UN;MATERIAL MANUTENCAO;;;;;;
05053;"UNIAO TC INOX 3""";UN;MATERIAL MANUTENCAO;;;;;;
05062;"REGISTRO INOX 1""";UN;MATERIAL MANUTENCAO;;;;;;
05063;CARTUCHO HONEYWELL 75003 V;UN;SESMT;;;;;;
05064;FILTRO HONEYWELL 7506;UN;SESMT;;;;;;
05086;BOBINA ALUMINIO 0.7MM;MT;MATERIAL MANUTENCAO;;;;;;
05087;XAROPE GUARANA PETRUZ ORGANICO SA TB;KG;SEMI ELABORADO;;;;;;
05091;ACAI PETRUZ CLA12 SR CPSA 100G;UND;PRODUTO ELABORACAO;;;;;;
05098;"REGISTRO GAVETA VAPOR 2""";UN;MATERIAL MANUTENCAO;;;;;;
05105;"JOELHO GALVANIZADO 2""";UN;MATERIAL MANUTENCAO;;;;;;
05106;"JOELHO GALVANIZADO 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
05108;"UNIAO GALVANIZADA 3/4""";UN;MATERIAL MANUTENCAO;;;;;;
05110;"NIPEL GALVANIZADO 3/4""";UN;MATERIAL MANUTENCAO;;;;;;
05111;TE GALVANIZADO 3/4;UN;MATERIAL MANUTENCAO;;;;;;
05115;"PARAFUSO SEXTAVADO 3/8 X 1 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
05117;"PORCA SEXTAVADA 3/8 X 1 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
05134;SERRA MARMORE BOSCH;UN;MATERIAL MANUTENCAO;;;;;;
05143;ACAI ADOCADO PETRUZ PRE24 SR CPCA 100G;UND;PRODUTO ELABORACAO;;;;;;
05145;ACAI ADOCADO PETRUZ PRE24 SR CPCA 400G CX15;CX;P.A. BEBIDA MISTA;;;;;;
05146;ACAI ADOCADO PETRUZ PRE24 SR CPCA 1,02KG;UN;PRODUTO ELABORACAO;;;;;;
05159;SOLDA OK 46 3 25;KG;MATERIAL MANUTENCAO;;;;;;
05162;"DISCO CORTE 7""";UN;MATERIAL MANUTENCAO;;;;;;
05164;CHAPA INOX 2MM 1.25 X 3M;M;MATERIAL MANUTENCAO;;;;;;
05165;SOLDA INOX OK 2.5;KG;MATERIAL MANUTENCAO;;;;;;
05170;CALDA ACAI CAMPO VERDE MOR27 SR CPCA TB;KG;SEMI ELABORADO;;;;;;
05171;LUVA CANO CURTO RASPA;UN;SESMT;;;;;;
05172;MARRETA 3KG;UN;MATERIAL MANUTENCAO;;;;;;
05175;CAIXA PAPELAO PETRUZ DIVISORIA 300 X 200 X 220 MM 3,6KG;UN;EMBALAGEM;;;;;;
05176;CAIXA PAPELAO PETRUZ TABULEIRO 300 X 200 X 220 MM 6,0KG;UN;EMBALAGEM;;;;;;
05177;SOLUCAO LIMPEZA PHMETRO;UN;MATERIAL LABORATORIO;;;;;;
05183;GRELHA TRAZEIRA COD 096207;UN;MATERIAL MANUTENCAO;;;;;;
05185;POLIESTIRENO TOPO SUP COD 01.0660;UN;MATERIAL MANUTENCAO;;;;;;
05186;GRELHA INFERIOR FRONTAL BRANCO COD 010249;UN;MATERIAL MANUTENCAO;;;;;;
05187;GRELHA INFERIOR FRONTAL CURVA;UN;MATERIAL MANUTENCAO;;;;;;
05188;ARREMATE ESGOTO VERTICAL COD 01.0309;UN;MATERIAL MANUTENCAO;;;;;;
05189;ARREMATE ESGOTO INTERNO COD 01.0262;UN;MATERIAL MANUTENCAO;;;;;;
05190;KIT BARRA LED 1250MM COD 03.0566;UN;MATERIAL MANUTENCAO;;;;;;
05195;RESISTENCIA RIGIDA DEGELO 500W. 220V COD 030435;UN;MATERIAL MANUTENCAO;;;;;;
05196;KIT COMPRESSOR NT2180KG 1HP 220V COD 02.0965;UN;MATERIAL MANUTENCAO;;;;;;
05200;MOTOR VENTILADOR CN30 220V COD 02.0794;UN;MATERIAL MANUTENCAO;;;;;;
05202;GAXETA ENCAIXE 1400X625 COD 09.0971;UN;MATERIAL MANUTENCAO;;;;;;
05204;INTERRUPTOR LAMPADA QUADRADO COD 03.0213;UN;MATERIAL MANUTENCAO;;;;;;
05207;VEDACAO EPDM TC DIAM 50,80MM;UN;MATERIAL MANUTENCAO;;;;;;
05210;ARRUELA LISA INOX M6 A2;UN;MATERIAL MANUTENCAO;;;;;;
05213;PORCA SEXTAVADA INOX 8MM;UN;MATERIAL MANUTENCAO;;;;;;
05218;COGUMELO TRAVA VERMELHO;UN;MATERIAL MANUTENCAO;;;;;;
05224;"PARAFUSO 1/2 5""";UN;MATERIAL MANUTENCAO;;;;;;
05229;"PORCA INOX CIRCULAR SMS 1 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
05235;PORCA SEXTAVADA M4-0;UN;MATERIAL MANUTENCAO;;;;;;
05236;SUB BASE MANIFOLD SS5Y5-20-07;UN;MATERIAL MANUTENCAO;;;;;;
05237;BUJAO PA ROSCA 1/4 - DESATIVADO;UN;MATERIAL MANUTENCAO;;;;;;
05240;PORCA SEXTAVADA M5-0,80 INOX;UN;MATERIAL MANUTENCAO;;;;;;
05247;"VALVULA SOLENOIDE 3/4""";UN;MATERIAL MANUTENCAO;;;;;;
05283;"ESGUICHO REGULAVEL 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
05284;"ARRUELA LISA 1/4""";UN;MATERIAL MANUTENCAO;;;;;;
05287;CAJU REPROCESSO INT11 BD;KG;REPROCESSO;;;;;;
05299;PARAFUSO SEXTAVADO M8 X 70MM;UN;MATERIAL MANUTENCAO;;;;;;
05306;CHAVE COMBINADA 7MM;UN;MATERIAL MANUTENCAO;;;;;;
05329;CALDA ACAI GUARANA CAMPO VERDE CLA18 SR CPCA TB;KG;SEMI ELABORADO;;;;;;
05332;MARACUJA REPROCESSO INT11 BD;KG;REPROCESSO;;;;;;
05337;BOX CURVO 1;UN;MATERIAL MANUTENCAO;;;;;;
05340;"PRENSA CABO 1""";UN;MATERIAL MANUTENCAO;;;;;;
05345;FLANGE PVC 110MM X 4”;UN;MATERIAL MANUTENCAO;;;;;;
05357;ABACAXI REPROCESSO INT12 BD;KG;REPROCESSO;;;;;;
05367;BORNE CABO 1,5MM;UN;MATERIAL MANUTENCAO;;;;;;
05372;MURUCI REPROCESSO INT8 BD;KG;REPROCESSO;;;;;;
05378;MANGA REPROCESSO INT12 BD;KG;REPROCESSO;;;;;;
05384;TAMARINDO PETRUZ INT11 SR CPSA 100G;UND;PRODUTO ELABORACAO;;;;;;
05392;RESISTENCIA DATADOR EXIMAQ 50G;UN;MATERIAL MANUTENCAO;;;;;;
05394;ROLETE BORRACHA TRACAO EXIMAQ 50G;UN;MATERIAL MANUTENCAO;;;;;;
05395;FACA CORTE EXIMAC 50G;UN;MATERIAL MANUTENCAO;;;;;;
05396;"UNIAO SMS 2"" INOX";UN;MATERIAL MANUTENCAO;;;;;;
05399;"TE INOX 2""";UN;MATERIAL MANUTENCAO;;;;;;
05410;MORANGO REPROCESSO INT6 BD;KG;REPROCESSO;;;;;;
05414;"PARAFUSO GROSSO 10 X 30""";UN;MATERIAL MANUTENCAO;;;;;;
05418;TE PVC 25 X 1/2MM;UN;MATERIAL MANUTENCAO;;;;;;
05422;BACURI REPROCESSO INT8 SR CPSA BD;KG;REPROCESSO;;;;;;
05435;ENGRENAGEM TRACAO;UN;MATERIAL MANUTENCAO;;;;;;
05457;ACAI A3 CLA25 SR CPCA 500G CX7;CX;P.A. BEBIDA MISTA;;;;;;
05458;CUPUACU REPROCESSO INT10 BD;KG;REPROCESSO;;;;;;
05463;GRAVIOLA REPROCESSO INT10 BD;KG;REPROCESSO;;;;;;
05470;MASSA ACRILICA GALAO 18L;UN;MATERIAL CONSTRUCAO;;;;;;
05471;GOIABA REPROCESSO INT9 BD;KG;REPROCESSO;;;;;;
05477;CONEXAO RETA ROSCA 1\2 TUBO 8MM;UN;MATERIAL MANUTENCAO;;;;;;
05478;CONEXAO RETA ROSCA 1\2 TUBO 10MM;UN;MATERIAL MANUTENCAO;;;;;;
05479;CONEXAO UNIAO TE REDUCAO 8\6MM;UN;MATERIAL MANUTENCAO;;;;;;
05480;CONEXAO UNIAO TE REDUCAO 10\8MM;UN;MATERIAL MANUTENCAO;;;;;;
