Nº do item;Descrição do item;Unidade de medida de compra;Grupo de itens;;;;;;
00314;ABACAXI PETRUZ INT12 SR CPSA 1KG;KG;PRODUTO ELABORACAO;;;;;;
00316;ABACAXI PETRUZ INT12 SR CPSA 1KG CX20;CX;P.A. FRUTAS;;;;;;
00317;ABACAXI PETRUZ INT12 SR CPSA 100G;UND;PRODUTO ELABORACAO;;;;;;
00318;ABACAXI PETRUZ INT12 SR CPSA 400G;UND;PRODUTO ELABORACAO;;;;;;
00320;ABACAXI PETRUZ INT12 SR CPSA 400G CX15;CX;P.A. FRUTAS;;;;;;
00325;ACEROLA IN NATURA CONVENCIONAL;KG;MAT PRIMA IN NATURA;;;;;;
00326;ACEROLA POLPA INT6 SR CPSA TB;KG;INGREDIENTES;;;;;;
00333;ACEROLA POLPA INT6 SR CNSA TB;KG;INGREDIENTES;;;;;;
00335;ACEROLA POLPA INT6 SR CNSA SC;SC;P.A. FRUTAS;;;;;;
00339;ACEROLA PETRUZ INT6 SR CPSA 1KG;KG;PRODUTO ELABORACAO;;;;;;
00340;ACEROLA PETRUZ INT6 SR CPSA 1KG CX20;CX;P.A. FRUTAS;;;;;;
00341;ACEROLA PETRUZ INT6 SR CPSA 100G;UND;PRODUTO ELABORACAO;;;;;;
00342;ACEROLA PETRUZ INT6 SR CPSA 400G;UND;PRODUTO ELABORACAO;;;;;;
00344;ACEROLA PETRUZ INT6 SR CPSA 400G CX15;CX;P.A. FRUTAS;;;;;;
00355;BACURI IN NATURA CONVENCIONAL;KG;MAT PRIMA IN NATURA;;;;;;
00356;BACURI POLPA INT8 SR CPSA TB;KG;INGREDIENTES;;;;;;
00359;BACURI POLPA INT8 SR CNSA TB;KG;INGREDIENTES;;;;;;
00362;BACURI PETRUZ INT8 SR CPSA 1KG;KG;PRODUTO ELABORACAO;;;;;;
00364;BACURI PETRUZ INT8 SR CPSA 100G;UND;PRODUTO ELABORACAO;;;;;;
00365;BACURI PETRUZ INT8 SR CPSA 400G;UND;PRODUTO ELABORACAO;;;;;;
00366;BACURI PETRUZ INT8 SR CPSA 400G CX15;CX;P.A. FRUTAS;;;;;;
00367;BACURI PETRUZ INT8 SR CPSA 1KG CX20;CX;P.A. FRUTAS;;;;;;
00369;CAJU IN NATURA CONVENCIONAL;KG;MAT PRIMA IN NATURA;;;;;;
00370;CAJU POLPA INT11 SR CPSA TB;KG;INGREDIENTES;;;;;;
00373;CAJU POLPA INT11 SR CNSA TB;KG;INGREDIENTES;;;;;;
00375;CAJU POLPA INT11 SR CNSA SC;KG;P.A. FRUTAS;;;;;;
00376;CAJU PETRUZ INT11 SR CPSA 1KG;KG;PRODUTO ELABORACAO;;;;;;
00378;CAJU PETRUZ INT11 SR CPSA 1KG CX20;CX;P.A. FRUTAS;;;;;;
00379;CAJU PETRUZ INT11 SR CPSA 100G;UND;PRODUTO ELABORACAO;;;;;;
00380;CAJU PETRUZ INT11 SR CPSA 400G;UND;PRODUTO ELABORACAO;;;;;;
00381;CAJU PETRUZ INT11 SR CPSA 400G CX15;CX;P.A. FRUTAS;;;;;;
00386;CAMU CAMU IN NATURA CONVENCIONAL;KG;MAT PRIMA IN NATURA;;;;;;
